# cointelegraph_historical.tsv - Historical article data from Cointelegraph.com.
#
# This is a tab-separated value file (TSV). Format notes:
#
# - Ignore blank lines.
# - Ignore lines beginning with "#".
# - Columns are:
#    1. Article slug - replace ??? with www.cointelegraph.com/news/???.html for
#    the article URL.
#    2. Publish date - when the article was published
#
a-brief-history-of-coin-crowdsales-winners-losers-and-the-future-of-the-internet	2015-05-05T19:31:00
absolutely-bizarre-aspects-of-22-bln-btc-e-mt-gox-hacking-incident	2017-07-27T18:20:00
abu-dhabi-begins-their-path-to-ico-regulation	2017-10-10T13:30:00
abu-dhabi-financial-services-authority-is-working-on-cryptocurrency-and-ico-regulations	2018-02-12T17:32:00
abu-dhabi-securities-exchange-blockchain-is-most-innovative-technology-for-digital-transactions	2017-04-18T09:13:00
accelerator-boost-vc-ceo-adam-draper-believes-singapore-is-the-place-for-bitcoin-in-asia	2014-10-25T12:42:38
accenture-9-out-of-10-major-banks-in-north-america-and-europe-are-exploring-blockchain-technology-for-payments	2016-10-26T12:52:00
accenture-leverages-blockchain-technology-innovations-for-enterprise-it-use	2017-10-11T14:15:00
accenture-secures-patent-for-its-editable-blockchain-technology	2017-09-29T12:35:00
accepting-bitcoin-in-us-elections	2016-03-03T13:05:00
accidental-charges-lead-to-coinbase-users-losing-thousands-of-dollars-refunds-promised	2018-02-16T09:44:00
accidentally-killed-it-parity-grapples-with-280-mln-locked-eth	2017-11-08T10:55:00
according-to-bnp-paribas-absence-of-central-bank-will-limit-bitcoins-future	2017-11-21T04:35:00
according-to-chinese-media-pboc-investigations-reveal-illegal-operations-in-major-bitcoin-exchanges-affecting-the-price-of-bitcoin	2017-01-19T15:05:00
according-to-harvard-business-review-blockchain-key-to-reclaiming-data-privacy	2017-10-07T22:50:00
according-to-key-european-regulator-icos-could-be-derivative-activities	2017-11-16T01:05:00
achain-founder-fork-theory-echoed-technical-discussions	2017-11-28T08:35:00
achain-partner-i-want-to-invest-in-blockchain-as-high-as-i-can	2017-12-08T16:30:00
a-couple-of-vcs-and-ceos-whalepanda-delivers-final-verdict-on-segwit2x	2017-11-06T14:05:00
active-bitcoin-wallets-number-has-grown-four-fold-over-five-years-study	2017-04-11T09:09:00
actress-lucy-liu-goes-blockchain-at-bransons-caribbean-island-conference	2015-05-29T15:32:10
adam-back-bitcoin-block-size-increase-in-mid-term-is-possible	2017-11-14T19:05:00
adam-back-we-need-to-hold-on-to-the-decentralized-nature-of-bitcoin	2015-09-13T15:06:18
adam-draper-bitcoin-blockchain-will-not-replace-cash-will-serve-as-backend-for-dollar	2016-11-21T11:36:00
a-dazzling-history-of-bitcoins-ups-and-downs	2018-02-16T22:44:00
ad-blocking-browser-brave-introduces-new-way-to-support-websites	2017-03-24T16:15:00
adblock-plus-will-still-show-unwanted-ads-solution-is-a-blockchain-based-monetization-system	2016-11-03T12:54:00
adding-blockchain-to-name-causes-soaring-valuation-reminiscent-of-dot-com-bubble	2017-10-31T02:10:00
additional-value-layers-beyond-bitcoin-inside-colu	2015-08-15T15:39:59
a-decentralized-dispute-resolution-platform-emerges-on-the-blockchain	2017-10-23T14:50:00
adel-ico-due-diligence	2017-05-05T19:13:00
adel-why-fintech-incubator-launches-ico	2017-05-09T10:55:00
adoption-indication-dan-bilzerian-crypto-portfolio-disclosure	2017-11-24T09:34:00
adoption-of-bitcoin-picking-up-speed-in-venezuela-called-lifesaving-currency	2017-12-16T03:05:00
adult-film-industry-goes-blockchain-now-alicia-machado-sex-tapes-wont-be-altered	2016-09-30T19:19:00
advocate-files-for-immediate-regulation-of-bitcoin-in-india	2018-01-09T03:33:00
aeron-leverages-blockchain-tech-for-safer-flights	2017-09-20T14:40:00
a-farewell-to-george-gor-cointelegraph-misses-you	2016-02-04T20:40:00
afghan-girls-can-now-participate-in-the-global-economy-with-bitcoin-learning-code	2015-06-19T21:08:22
africa-can-catch-up-by-implementing-blockchain	2017-08-02T14:50:00
africa-may-leapfrog-traditional-banking	2015-04-09T18:13:23
africans-learn-to-separate-onecoin-scamcoins-from-bitcoin	2017-02-27T09:26:00
africa-poised-to-storm-the-world-as-bitcoin-spreads	2015-12-11T14:59:00
africa-to-hold-its-first-ever-bitcoin-conference	2015-02-02T16:46:03
after-40-years-of-looking-ron-paul-finds-bitcoin	2015-05-05T20:58:24
after-50-years-of-existence-what-is-next-for-atm	2017-07-01T16:25:00
after-bitcoin-swiss-bank-becomes-first-to-offer-bitcoin-cash-altcoins	2017-08-16T14:43:16
after-black-tuesday-bitcoin-price-altcoins-showing-signs-of-recovery	2017-07-12T16:00:00
after-blockshow-how-achains-fork-theory-has-worked-in-real-life	2017-12-27T12:20:00
after-circle-chinas-baidu-invests-in-us-fintech-company-again	2016-07-20T13:00:00
after-declines-bitcoin-comes-back-stronger	2017-11-14T13:25:00
after-losing-40-of-value-bitcoin-bounces-above-14000	2017-12-23T20:28:00
age-of-altcoins-alternative-cryptocurrencies-make-gains-against-bitcoin	2016-05-02T16:50:00
a-glimpse-into-the-future-of-decentralized-media	2015-09-24T09:30:08
agriculture-getting-an-ico-upgrade-to-boost-production-in-russia	2017-10-28T07:35:00
agriculture-process-gets-blockchain-lift-with-pilot-blockchain-tracking-system	2017-08-04T18:05:00
a-guide-to-trading-with-bitcoin-advantages-risks-and-if-you-should	2017-02-07T17:05:00
ahead-of-todays-eth-hard-fork-exchange-alerts-on-risk-of-unintentional-etc-fork	2016-10-18T15:53:00
aicoin-promises-investors-artificial-intelligence-support-for-trade-in-top-cryptos	2017-07-21T12:55:00
aig-issues-first-insurance-policy-based-on-blockchain-technology	2017-06-19T23:33:00
airbitz_announces_launch_of_bitcoin_business_directory	2014-03-19T09:35:14
airbnb-acquisition-of-bitcoin-entrepreneurs-does-not-mean-bitcoin-or-blockchain-foray	2016-04-13T18:03:00
airbnb-warming-to-bitcoin-invites-coinbase-to-hq	2014-12-01T11:06:46
airport_forex_kiosk_introduces_bitcoin_option_gets_overwhelmed	2013-11-20T12:25:00
airtm-focusing-on-harsh-currency-regimes-of-south-american-remittance-market	2015-07-13T20:28:20
a-japanese-startup-aims-to-boost-earnings-of-social-media-influencer	2018-02-09T13:05:00
a_journey_through_bitcoin_2014	2014-06-18T21:33:45
a-journey-through-inside-bitcoins-hong-kong-2014	2014-07-09T14:56:04
alan-greenspan-urges-return-to-the-gold-standard-to-stop-hyperinflation	2016-07-11T14:20:00
algerian-government-eyes-total-ban-on-cryptocurrencies	2017-10-27T15:30:00
alibaba-blockchain-cloud-service-announcement	2016-01-22T11:14:00
alibaba-deploys-blockchain-to-secure-health-data-in-chinese-first	2017-08-18T14:05:00
alibaba-enters-into-online-lending-credit-mobile-only-banking-application-receives-license	2015-06-27T13:58:19
alibabas-jack-ma-blasts-wto-in-davos-set-to-take-world-trade-online	2017-01-24T13:22:00
alibabas-selfie-payments-vulnerable-may-work-with-decentralized-security	2015-03-25T16:11:56
alibaba-would-accept-bitcoin-before-amazon-google-silberts-survey	2017-06-23T11:45:00
all-bitcoin-exchanges-lax-on-security-should-get-rid-of-hot-wallets	2016-08-31T11:40:00
all-bitrouble-domains-scooped-up-for-millions-by-russian-payment-service-provider-qiwi	2015-09-19T11:50:37
alleged-insider-trading-of-bitcoin-cash-on-coinbase-is-non-crime-says-ver	2017-12-21T14:39:00
all-eyes-on-dash-as-currency-surges-60-despite-crypto-market-turmoil	2017-11-13T10:00:00
all-eyes-on-tether-amid-crypto-pull-back	2018-02-05T19:32:00
all-pain-no-gain-indias-failed-demonetization-is-a-lesson-to-all	2016-12-09T17:10:00
alls-well-that-ends-well-parity-hopes-to-unlock-killed-ethereum	2017-12-06T12:21:00
all-that-glitters-is-gulden-dutch-cryptocurrency-boasts-impressive-adoption	2016-05-06T11:00:00
a-long-story-short-how-r3-has-become-a-melting-pot-of-blockchain-friendship	2016-06-08T12:06:00
a_look_at_7_bitcoin_startups_at_boost_vc_demo_day	2013-09-23T10:15:00
a_look_inside_asicminer_s_cooling_plant	2013-12-03T15:50:00
alphabay-admin-caught-bragged-about-porsche-purchase	2017-07-24T18:20:00
alphapoints-million-transactions-per-second-attracts-bitfinex-growth-partnership	2014-11-19T15:43:08
altcoin-created-by-bittorrents-cohen-to-combat-bitcoin-flaws	2017-04-25T11:05:00
altcoin-digest-10-coins-that-cant-be-neglected-op-ed	2015-05-13T18:30:13
altcoin-eos-joins-top-crypto-league-surges-321-percent-after-ico-launch	2017-07-03T15:20:00
altcoin-fiat-trading-rises-bitpanda-adds-dash-euro-trading	2017-03-30T18:00:00
altcoin-founder-slams-need-for-icos-after-alternative-experiment	2017-09-02T16:40:00
altcoin-gulden-set-to-implement-pow²-in-july-leading-developer	2017-06-01T15:45:00
altcoin-horoscope-does-your-zodiac-sign-have-its-own-cryptocurrency	2017-06-22T16:55:00
altcoin-price-analysis-dash-skyrokets	2016-01-22T16:30:00
